epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1549,0.78162,2.54995,2.57689,1.10941,0.00333,1,0.29609,0.16497,0.003,0.9,0.17001,0.13058,0.76476,1.94643,3.27722,1.24193,0,0,0
2,35.3512,0.87924,2.20386,2.47421,1.1366,0.00333,1,0.33157,0.18157,0.003,0.9,0.1419,0.09765,0.76609,1.93052,3.2712,1.24153,1.901e-05,1.901e-05,1.901e-05
3,47.0782,0.87369,2.75913,2.69912,1.15576,0.00333,1,0.38436,0.22056,0.00333,1,0.13931,0.09587,0.77343,2.0071,3.26712,1.25161,3.604e-05,3.604e-05,3.604e-05
4,59.506,0.82203,2.09454,2.50396,1.09772,0.00333,1,0.44227,0.27892,0.00333,1,0.4236,0.21284,0.76636,1.994,3.27503,1.25153,5.109e-05,5.109e-05,5.109e-05
5,74.4292,0.75838,1.90061,2.3301,1.04078,0.00333,1,0.59012,0.42389,0.003,0.9,0.5721,0.44393,0.75119,1.98002,3.26013,1.25554,6.416e-05,6.416e-05,6.416e-05
6,92.8349,0.62082,1.19461,2.30351,1.03755,0.00333,1,0.68782,0.48943,0.00333,1,0.66835,0.51544,0.73548,2.01202,3.25677,1.27012,7.525e-05,7.525e-05,7.525e-05
7,108.555,0.7311,1.44133,2.1341,1.06915,0.00333,1,0.71689,0.52221,0.00333,1,0.70726,0.54345,0.73853,1.86718,3.25706,1.27256,8.436e-05,8.436e-05,8.436e-05
8,122.202,0.68854,0.94074,2.03185,1.0109,0.00333,1,0.72675,0.51276,0.00333,1,0.71879,0.54088,0.74896,1.8006,3.23359,1.3094,9.149e-05,9.149e-05,9.149e-05
9,137.41,0.63607,1.1016,1.84588,1.01956,0.00333,1,0.75729,0.5311,0.00333,1,0.75429,0.58421,0.74117,1.97019,3.21552,1.31149,9.664e-05,9.664e-05,9.664e-05
10,151.298,0.52559,0.75785,1.51443,0.9162,0.00333,1,0.76904,0.55529,0.00333,1,0.76821,0.59291,0.75342,1.90561,3.15439,1.32327,9.981e-05,9.981e-05,9.981e-05
11,163.833,0.83035,1.06778,1.9003,1.3296,0.00333,1,0.77053,0.54237,0.00333,1,0.7699,0.5659,0.7487,1.93317,3.12071,1.30035,0.000101,0.000101,0.000101
12,177.584,0.83179,0.99002,1.77643,1.35915,0.00333,1,0.78682,0.53895,0.00333,1,0.78682,0.54522,0.76096,1.94609,3.08926,1.32102,0.00010021,0.00010021,0.00010021
13,190.828,0.61722,0.65744,1.61914,1.07199,0.00333,1,0.79319,0.57598,0.00333,1,0.7928,0.54647,0.74041,1.90489,3.09492,1.32665,9.744e-05,9.744e-05,9.744e-05
14,203.695,0.48807,0.58837,1.52211,1.02659,0.0077,1,0.83048,0.57492,0.0077,1,0.83048,0.56378,0.75496,1.93188,3.06347,1.36448,9.269e-05,9.269e-05,9.269e-05
15,215.668,0.44497,0.54296,1.42348,0.89268,0.07084,1,0.86143,0.5958,0.07084,1,0.85927,0.58589,0.77023,1.93681,3.04027,1.37734,8.596e-05,8.596e-05,8.596e-05
16,229.151,0.50529,0.53482,1.42996,1.04314,0.46012,0.9,0.86945,0.59959,0.46012,0.9,0.86512,0.58804,0.78814,1.9346,3.02101,1.40191,7.725e-05,7.725e-05,7.725e-05
17,242.928,0.47268,0.65003,1.48131,1.03972,0.59392,0.9,0.88896,0.59433,0.59392,0.9,0.88423,0.60367,0.79275,1.8369,3.00661,1.40678,6.656e-05,6.656e-05,6.656e-05
18,255.161,0.39699,0.45609,1.41277,0.98852,0.59392,0.9,0.88896,0.59433,0.59392,0.9,0.88423,0.60367,0.79275,1.8369,3.00661,1.40678,5.389e-05,5.389e-05,5.389e-05
19,267.791,0.48809,0.43711,1.41823,0.93236,0.81722,0.8,0.89348,0.6046,0.81722,0.8,0.89348,0.61201,0.79288,1.78918,2.98202,1.43289,3.924e-05,3.924e-05,3.924e-05
20,282.371,0.44959,0.48213,1.43003,0.99343,0.81722,0.8,0.89348,0.6046,0.81722,0.8,0.89348,0.61201,0.79288,1.78918,2.98202,1.43289,2.261e-05,2.261e-05,2.261e-05
